L1,L2 (Defined),L2(Suggested),L3,L2(New),L3(Tagged),L4,Amazon Merged  Entry
Beauty & Personal Care,Fragrances,Fragrances,Attar,Fragrances,Attars & Essential Oils,Attar,"['(Beauty, Fragrance, Attar)', '(Fashion, Beauty, Fragrance, Attar)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bath Additives,Bath & Body,"Bath Salts, Bath Bombs & Bath Additives",Bath Bombs,"['(Beauty, Bath & Body, Bath Additives, Bath Bombs)', '(Fashion, Beauty, Bath & Body, Bath Additives, Bath Bombs)']['(Fashion, Beauty, Skin Care, Body, Body & Bath, Bath Additives, Bath Bombs)']['(Beauty, Skin Care, Body, Body & Bath, Bath Additives, Bath Bombs)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bath Additives,Bath & Body,"Bath Salts, Bath Bombs & Bath Additives",Bath Oils,"['(Beauty, Bath & Body, Bath Additives, Bath Oils)', '(Fashion, Beauty, Bath & Body, Bath Additives, Bath Oils)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bath Additives, Bath Oils)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bath Additives,Bath & Body,"Bath Salts, Bath Bombs & Bath Additives",Bath Salts,"['(Beauty, Bath & Body, Bath Additives, Bath Salts)', '(Fashion, Beauty, Bath & Body, Bath Additives, Bath Salts)']['(Beauty, Skin Care, Body, Body & Bath, Bath Additives, Bath Salts)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bath Additives, Bath Salts)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body & Bath,Bath & Body,"Bath Salts, Bath Bombs & Bath Additives",Bubble Bath,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Bath Additives, Bubble Bath)']['(Beauty, Bath & Body, Bath Additives, Bubble Bath)', '(Fashion, Beauty, Bath & Body, Bath Additives, Bubble Bath)']['(Beauty, Skin Care, Body, Body & Bath, Bath Additives, Bubble Bath)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bath Additives,Bath & Body,"Bath Salts, Bath Bombs & Bath Additives",Shower Steamers,"['(Beauty, Bath & Body, Bath Additives, Shower Steamers)', '(Fashion, Beauty, Bath & Body, Bath Additives, Shower Steamers)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body & Bath,Bath & Body,"Bath Salts, Bath Bombs & Bath Additives",Tub Tea,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Bath Additives, Tub Tea)']['(Beauty, Bath & Body, Bath Additives, Tub Tea)', '(Fashion, Beauty, Bath & Body, Bath Additives, Tub Tea)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bath Sets & Kits,Bath & Body,Bath Sets & Kits,Bath Set,"['(Beauty, Bath & Body, Bath Sets & Kits)', '(Fashion, Beauty, Bath & Body, Bath Sets & Kits)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bath Sets & Kits)']['(Beauty, Skin Care, Body, Body & Bath, Bath Sets & Kits)']"
Beauty & Personal Care,Fragrances,Fragrances,Sets,Fragrances,Bath Sets & Kits,Fragrance Set,"['(Beauty, Fragrance, Sets)', '(Fashion, Beauty, Fragrance, Sets)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Bathing Accessories,Bath & Body,Bathing Accessories,Bath Brush,"['(Beauty, Tools & Accessories, Bathing Accessories, Bath Brushes)', '(Fashion, Beauty, Tools & Accessories, Bathing Accessories, Bath Brushes)']['(Beauty, Bath & Body, Bathing Accessories, Bath Brushes)', '(Fashion, Beauty, Bath & Body, Bathing Accessories, Bath Brushes)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Bath Brushes)']['(Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Bath Brushes)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body & Bath,Bath & Body,Bathing Accessories,Bathing Accessories,"['(Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Poufs)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bathing Accessories,Bath & Body,Bathing Accessories,Loofah,"['(Beauty, Bath & Body, Bathing Accessories, Loofahs)', '(Fashion, Beauty, Bath & Body, Bathing Accessories, Loofahs)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Loofahs)']['(Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Loofahs)']['(Beauty, Tools & Accessories, Bathing Accessories, Loofahs)']['(Fashion, Beauty, Tools & Accessories, Bathing Accessories, Loofahs)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bathing Accessories,Bath & Body,Bathing Accessories,Poufs,"['(Beauty, Bath & Body, Bathing Accessories, Poufs)', '(Fashion, Beauty, Bath & Body, Bathing Accessories, Poufs)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Poufs)']['(Beauty, Tools & Accessories, Bathing Accessories, Poufs)', '(Fashion, Beauty, Tools & Accessories, Bathing Accessories, Poufs)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bathing Accessories,Bath & Body,Bathing Accessories,Shower Cap,"['(Beauty, Bath & Body, Bathing Accessories, Shower Caps)', '(Fashion, Beauty, Bath & Body, Bathing Accessories, Shower Caps)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Shower Caps)']['(Beauty, Tools & Accessories, Bathing Accessories, Shower Caps)', '(Fashion, Beauty, Tools & Accessories, Bathing Accessories, Shower Caps)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Bathing Accessories,Bath & Body,Bathing Accessories,Sponge,"['(Fashion, Beauty, Bath & Body, Bathing Accessories, Sponges)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Sponges)']['(Beauty, Tools & Accessories, Bathing Accessories, Sponges)', '(Fashion, Beauty, Tools & Accessories, Bathing Accessories, Sponges)']['(Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Sponges)']"
Beauty & Personal Care,Beauty Tools & Accessories,Beauty Tools & Accessories,Bathing Accessories,Bath & Body,Bathing Accessories,Washcloths,"['(Beauty, Tools & Accessories, Bathing Accessories, Washcloths)', '(Fashion, Beauty, Tools & Accessories, Bathing Accessories, Washcloths)']['(Beauty, Bath & Body, Bathing Accessories, Washcloths)', '(Fashion, Beauty, Bath & Body, Bathing Accessories, Washcloths)', '(Fashion, Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Washcloths)']['(Beauty, Skin Care, Body, Body & Bath, Bathing Accessories, Washcloths)']"
Beauty & Personal Care,Skincare,Skincare,Body,Bath & Body,Body Care,Talcum Powder,"['(Beauty, Skin Care, Body, Talcum Powders)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Body Butter,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Butters)']['(Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Butters)']['(Beauty, Bath & Body, Body Washes, Body Butters)', '(Fashion, Beauty, Bath & Body, Body Washes, Body Butters)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Body Cream,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Creams)']['(Beauty, Bath & Body, Body Washes, Body Creams)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Body Lotion,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Lotions)']['(Beauty, Bath & Body, Body Washes, Body Lotions)', '(Fashion, Beauty, Bath & Body, Body Washes, Body Lotions)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Body Oil,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Oils)']['(Beauty, Bath & Body, Body Washes, Body Oils)', '(Fashion, Beauty, Bath & Body, Body Washes, Body Oils)']['(Beauty, Skin Care, Body, Body & Bath, Body Washes, Body Oils)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Cleansers,"['(Fashion, Beauty, Skin Care, Body, Body & Bath, Cleansers, Solid Soap Bars)']['(Beauty, Skin Care, Body, Body & Bath, Cleansers, Strips)', '(Beauty, Skin Care, Body, Body & Bath, Cleansers, Solid Soap Bars)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Face Cream,"['(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Face Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Night Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, DD Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Oils)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, CC Creams)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, BB Creams)']['(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Serums)']['(Beauty, Skin Care, Body, Face Creams & Moisturizers, Face Creams)']['(Beauty, Skin Care, Body, Face Creams & Moisturizers, BB Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, CC Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Night Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Tinted Moisturisers)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, DD Creams)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Serums)', '(Beauty, Skin Care, Body, Face Creams & Moisturizers, Oils)', '(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Tinted Moisturisers)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Hand Cream,"['(Fashion, Beauty, Skin Care, Body, Hand Creams and Lotions)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Maternity,"['(Fashion, Beauty, Skin Care, Body, Maternity)']"
Beauty & Personal Care,Skincare,Skincare,Body Care,Skincare,Body Care,Moisturizer,"['(Fashion, Beauty, Skin Care, Body, Face Creams & Moisturizers, Moisturizers)']['(Beauty, Skin Care, Body, Face Creams & Moisturizers, Moisturizers)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Talcum Powder,"['(Fashion, Beauty, Skin Care, Body, Talcum Powders)']"
Beauty & Personal Care,Skincare,Skincare,Body,Skincare,Body Care,Tanners,"['(Beauty, Skin Care, Body, Tanners)', '(Fashion, Beauty, Skin Care, Body, Tanners)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Tattoo Aftercare,"['(Beauty, Make-up, Body, Tattoo Aftercare)']"
Beauty & Personal Care,Bath & Body,Bath & Body,Body Care,Skincare,Body Care,Tub Tea,"['(Beauty, Skin Care, Body, Body & Bath, Bath Additives, Tub Tea)']"
