L1,L2 (Defined),L2(Suggested),L3,L2(New),L3(Tagged),L4,Amazon Entry
"Books, Music & Movies",Books,Books,Action & Adventure,Books,Action & Adventure,Action Novel,"['Books, Action & Adventure']"
"Books, Music & Movies",Books,Books,Literature & Fiction,Books,Action & Adventure,Action and Adventure,"['Books, Literature & Fiction, Action and Adventure', 'Kindle eBooks, Action and Adventure']"
"Books, Music & Movies",Books,Children's Books,Action & Adventure,Books,Action & Adventure,Pirates,"['Books, Children's Books, Action & Adventure, Pirates']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Apes & Monkeys,"['Books, Children's Books, Animals & Pets, Apes & Monkeys']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Bears,"['Books, Children's Books, Animals & Pets, Bears']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Birds,"['Books, Children's Books, Animals & Pets, Birds']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Cats,"['Books, Children's Books, Animals & Pets, Cats']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Dinosaurs & Prehistoric Creatures,"['Books, Children's Books, Animals & Pets, Dinosaurs & Prehistoric Creatures']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Dogs,"['Books, Children's Books, Animals & Pets, Dogs']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Farm Animals,"['Books, Children's Books, Animals & Pets, Farm Animals']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Fish,"['Books, Children's Books, Animals & Pets, Fish']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Frogs & Toads,"['Books, Children's Books, Animals & Pets, Frogs & Toads']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Horses,"['Books, Children's Books, Animals & Pets, Horses']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Insects & Spiders,"['Books, Children's Books, Animals & Pets, Insects & Spiders']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Pigs,"['Books, Children's Books, Animals & Pets, Pigs']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Rabbits,"['Books, Children's Books, Animals & Pets, Rabbits']"
"Books, Music & Movies",Books,Children's Books,Animals & Pets,Books,Animals & Pets,Zoos,"['Books, Children's Books, Animals & Pets, Zoos']"
"Books, Music & Movies",Books,Children's Books,Painting,Books,Art Books,Painting Book,"['Books, Children's Books, Painting']"
"Books, Music & Movies",Books,Books,Art Books,Books,Art Books,eBook,"['Kindle eBooks, Art, Film and Photography, Painting']"
"Books, Music & Movies",Books,Books,"Art, Film and Photography",Books,"Art, Film and Photography","History, Theory & Criticism","['Kindle eBooks, Art, Film and Photography, History, Theory & Criticism']"
"Books, Music & Movies",Books,Books,"Art, Film and Photography",Books,"Art, Film and Photography",Kindle eBooks,"['Kindle eBooks, Art, Film and Photography, Museums & Museology']"
"Books, Music & Movies",Books,Books,Textbooks,Books,"Art, Film and Photography",Photography,"['Kindle eBooks, Textbooks, Humanities, Visual Arts, Photography', 'Kindle eBooks, Art, Film and Photography, Photography']"
"Books, Music & Movies",Books,Books,"Art, Film and Photography",Books,"Art, Film and Photography",Theatre & Spectacles,"['Kindle eBooks, Art, Film and Photography, Theatre & Spectacles']"
"Books, Music & Movies",Books,Books,Foreign Language eBooks,Books,Arts & Photography,Arts & Photography,"['Kindle eBooks, Foreign Language eBooks, Arts & Photography', 'Books, Teen & Young Adult, Arts & Photography, Music, Instruments', 'Books, Teen & Young Adult, Arts & Photography, Fashion', 'Books, Teen & Young Adult, Arts & Photography, Performing Arts, Theatre']"
"Books, Music & Movies",Books,Children's Books,Arts & Photography,Books,Arts & Photography,Drawing,"['Books, Children's Books, Arts & Photography, Drawing']"
"Books, Music & Movies",Books,Children's Books,Arts & Photography,Books,Arts & Photography,Performing Arts,"['Books, Children's Books, Arts & Photography, Performing Arts, Circus', 'Books, Children's Books, Arts & Photography, Performing Arts, Dance', 'Books, Children's Books, Arts & Photography, Performing Arts, Drama & Theatre', 'Books, Children's Books, Arts & Photography, Performing Arts, Film']"
"Books, Music & Movies",Books,Children's Books,Arts & Photography,Books,Arts & Photography,Photography,"['Books, Children's Books, Arts & Photography, Photography']"
"Books, Music & Movies",Books,Children's Books,Arts & Photography,Books,Arts & Photography,Songbooks,"['Books, Children's Books, Arts & Photography, Music, Songbooks']"
"Books, Music & Movies",Books,Books,"Arts, Film & Photography",Books,"Arts, Film & Photography",Architecture,"['Books, Arts, Film & Photography, Architecture']"
"Books, Music & Movies",Books,Books,"Arts, Film & Photography",Books,"Arts, Film & Photography",Museums & Museology,"['Books, Arts, Film & Photography, Museums & Museology']"
"Books, Music & Movies",Books,Books,"Arts, Film & Photography",Books,"Arts, Film & Photography",Painting,"['Books, Arts, Film & Photography, Painting']"
"Books, Music & Movies",Books,Books,"Arts, Film & Photography",Books,"Arts, Film & Photography",Photography,"['Books, Arts, Film & Photography, Photography']"
"Books, Music & Movies",Books,Books,"Arts, Film & Photography",Books,"Arts, Film & Photography",Sculpture,"['Books, Arts, Film & Photography, Sculpture']"
"Books, Music & Movies",Books,Books,"Arts, Film & Photography",Books,"Arts, Film & Photography",Theater & Ballet,"['Books, Arts, Film & Photography, Theater & Ballet']"
"Books, Music & Movies",Books,Books,"Arts, Film & Photography",Books,"Arts, Film & Photography",Theory & Criticism,"['Books, Arts, Film & Photography, Theory & Criticism']"
"Books, Music & Movies",Books,Books,Audiobooks,Books,Audible Books & Originals,Audible Books & Originals,"['Audible Books & Originals, Mature Content', 'Audible Books & Originals, Business & Careers', 'Audible Books & Originals, Education & Learning', 'Audible Books & Originals, Health & Wellness', 'Audible Books & Originals, Literature & Fiction', 'Audible Books & Originals, Religion & Spirituality']"
"Books, Music & Movies",Books,Books,Audible Books & Originals,Books,Audible Books & Originals,Audiobook,"['Audible Books & Originals, Home & Garden', 'Audible Books & Originals, Money & Finance']"
"Books, Music & Movies",Books,Books,Science & Engineering,Books,Audible Books,Audible Books,"['Audible Books & Originals, Science & Engineering']"
"Books, Music & Movies",Books,Books,Audible Books,Books,Audible Books,History,"['Audible Books & Originals, History']"
"Books, Music & Movies",Books,Books,Audible Books,Books,Audible Books,LGBTQ+ Audiobooks,"['Audible Books & Originals, LGBTQ+']"
"Books, Music & Movies",Books,Books,Audible Books,Books,Audible Books,Travel Audiobooks,"['Audible Books & Originals, Travel & Tourism']"
"Books, Music & Movies",Books,Books,Audiobooks,Books,Audiobooks,Audible Book,"['Audible Books & Originals, Computers & Technology', 'Audible Books & Originals, Arts & Entertainment']"
"Books, Music & Movies",Books,Books,Audible Books,Books,Audiobooks,Audiobook,"['Audible Books & Originals, Sports & Outdoors', 'Audible Books & Originals, Politics & Social Sciences', 'Audible Books & Originals, Biographies & Memoirs']"
"Books, Music & Movies",Books,Books,Biographies & Autobiographies,Books,Biographies & Autobiographies,Biography,"['Books, Biographies, Diaries & True Accounts, Biographies & Autobiographies', 'Books, History, Biographies & Autobiographies', 'Kindle eBooks, Biographies, Diaries and True Accounts, Biographies & Autobiographies']"
"Books, Music & Movies",Books,Books,Audible Books & Originals,Books,Biographies & Memoirs,Biographies & Memoirs,"['Audible Books & Originals, Comedy & Humor, Biographies & Memoirs', 'Kindle eBooks, Foreign Language eBooks, Biographies & Memoirs']"
"Books, Music & Movies",Books,Books,"Biographies, Diaries & True Accounts",Books,"Biographies, Diaries & True Accounts",True Accounts,"['Books, Biographies, Diaries & True Accounts, True Accounts']"
"Books, Music & Movies",Books,Books,"Biographies, Diaries and True Accounts",Books,"Biographies, Diaries and True Accounts",True Accounts,"['Kindle eBooks, Biographies, Diaries and True Accounts, True Accounts']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Artists,"['Books, Teen & Young Adult, Biographies, Artists']"
"Books, Music & Movies",Books,Children's Books,Biographies,Books,Biographies,Biography,"['Books, Children's Books, Biographies']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Historical,"['Books, Teen & Young Adult, Biographies, Historical']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Literary,"['Books, Teen & Young Adult, Biographies, Literary']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Political,"['Books, Teen & Young Adult, Biographies, Political']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Religious,"['Books, Teen & Young Adult, Biographies, Religious']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Social Activists,"['Books, Teen & Young Adult, Biographies, Social Activists']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Travellers & Explorers,"['Books, Teen & Young Adult, Biographies, Travellers & Explorers']"
"Books, Music & Movies",Books,Books,Biographies,Books,Biographies,Women,"['Books, Teen & Young Adult, Biographies, Women']"
"Books, Music & Movies",Books,Books,Business Development & Entrepreneurship,Books,Business & Careers,Home-Based,"['Books, Business & Economics, Business Development & Entrepreneurship, Small Business, Home-Based']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Analysis & Strategy,"['Books, Business & Economics, Analysis & Strategy']"
"Books, Music & Movies",Books,Books,Engineering,Books,Business & Economics,"Business Management, Finance & Economics","['Books, Engineering, Non-Core Engineering, Business Management, Finance & Economics']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Development & Growth,"['Books, Business & Economics, Economics, Development & Growth']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Econometrics & Statistics,"['Books, Business & Economics, Economics, Econometrics & Statistics']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Economic Conditions,"['Books, Business & Economics, Economics, Economic Conditions']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Economic History,"['Books, Business & Economics, Economics, Economic History']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Economic Policy & Development,"['Books, Business & Economics, Economics, Economic Policy & Development']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Economics,"['Books, Business & Economics, Economics, Public Finance', 'Books, Business & Economics, Economics, Commerce', 'Books, Business & Economics, Economics, Comparative', 'Books, Business & Economics, Economics, Environmental Economics', 'Books, Business & Economics, Economics, Sustainable Development', 'Books, Business & Economics, Economics, Money & Monetary Policy', 'Books, Business & Economics, Economics, Theory & Philosophy', 'Books, Business & Economics, Economics, Inflation', 'Books, Business & Economics, Economics, Free Enterprise', 'Books, Business & Economics, Economics, Unemployment', 'Books, Business & Economics, Economics, Banks & Banking', 'Books, Business & Economics, Economics, Urban & Regional', 'Books, Business & Economics, Economics, Labor & Industrial Relations', 'Books, Business & Economics, Economics, Commercial Policy', 'Kindle eBooks, Business and Economics, Economics']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Franchises,"['Books, Business & Economics, Business Development & Entrepreneurship, Franchises']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Industries,"['Books, Business & Economics, Industries', 'Kindle eBooks, Business and Economics, Industries & Business Sectors']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Interest,"['Books, Business & Economics, Economics, Interest']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Macroeconomics,"['Books, Business & Economics, Economics, Macroeconomics']"
"Books, Music & Movies",Books,Books,Business & Economics,Books,Business & Economics,Microeconomics,"['Books, Business & Economics, Economics, Microeconomics']"
"Books, Music & Movies",Books,Books,Higher Education Textbooks,Books,Business & Economics,Sales,"['Books, Higher Education Textbooks, Business & Finance, Sales']"
